record-type,attack-v18-attack-id,attack-v19-attack-id,attack-v18-stix-id,attack-v19-stix-id,attack-v18-name,attack-v19-name,attack-v19-parent-attack-id,explanation,technique-change-type
Existing Technique,T0803,T1691.001,attack-pattern--008b8f56-6107-48be-aa9f-746f927dbb61,attack-pattern--15ca2a99-2d3e-457f-b1d7-c52a1d5849c9,Block Command Message,Block Operational Technology Message: Command Message,T1691,,Became new sub-technique
Existing Technique,T0804,T1691.002,attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b,attack-pattern--7866bb5f-98ee-45c2-984c-8a328c5176b2,Block Reporting Message,Block Operational Technology Message: Reporting Message,T1691,,Became new sub-technique
Existing Technique,T0855,T1692.001,attack-pattern--40b300ba-f553-48bf-862e-9471b220d455,attack-pattern--4344d1b8-968b-4697-9ab9-f9abe5f52265,Unauthorized Command Message,Unauthorized Message: Command Message,T1692,,Became new sub-technique
Existing Technique,T0856,T1692.002,attack-pattern--8535b71e-3c12-4258-a4ab-40257a1becc4,attack-pattern--527106b3-95a2-4ed2-bf89-db7f0e4d0da0,Spoof Reporting Message,Unauthorized Message: Reporting Message,T1692,,Became new sub-technique
Existing Technique,T0857,T1693.001,attack-pattern--b9160e77-ea9e-4ba9-b1c8-53a3c466b13d,attack-pattern--68a9324d-a524-4766-a899-a026f68a33df,System Firmware,Modify Firmware: System Firmware,T1693,,Became new sub-technique
Existing Technique,T0839,T1693.002,attack-pattern--efbf7888-f61b-4572-9c80-7e2965c60707,attack-pattern--75587e49-ab7e-44df-9549-faeb1da57f39,Module Firmware,Modify Firmware: Module Firmware,T1693,,Became new sub-technique
Existing Technique,T0812,T1694.001,attack-pattern--8bb4538f-f16f-49f0-a431-70b5444c7349,attack-pattern--5658ad88-7510-490e-a351-95d50b1bcd91,Default Credentials,Insecure Credentials: Default Credentials,T1694,,Became new sub-technique
Existing Technique,T0891,T1694.002,attack-pattern--c9a8d958-fcdb-40d2-af4c-461c8031651a,attack-pattern--6b335943-c3af-430e-a135-ab09623bdc20,Hardcoded Credentials,Insecure Credentials: Hardcoded Credentials,T1694,,Became new sub-technique
Existing Technique,T0873,T0873,attack-pattern--e72425f8-9ae6-41d3-bfdb-e1b865e60722,attack-pattern--e72425f8-9ae6-41d3-bfdb-e1b865e60722,Project File Infection,Project File Infection,,Getting a sub-technique for Siemens Project File Format,Remains a technique
Existing Technique,T0846,T0846,attack-pattern--d5a69cfb-fc2a-46cb-99eb-74b236db5061,attack-pattern--d5a69cfb-fc2a-46cb-99eb-74b236db5061,Remote System Discovery,Remote System Discovery,,"Getting sub-techniques for port scan, broadcast discovery, multicast discovery",Remains a technique
Existing Technique,T0805,T1695.001,attack-pattern--1c478716-71d9-46a4-9a53-fa5d576adb60,attack-pattern--55e7e5c1-3760-4451-bae0-e79b29f452c5,Block Serial COM,Block Communications: Serial COM,T1695,,Became new sub-technique
Existing Technique,T0843,T0843,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,attack-pattern--be69c571-d746-4b1f-bdd0-c0c9817e9068,Program Download,Program Download,,Getting sub-techniques for Download All and Program Append,Remains a technique
New Technique,,T1691,,attack-pattern--338f4364-2269-4f70-9079-b20384b16628,,Block Operational Technology Message,,,Became a new technique
New Technique,,T1692,,attack-pattern--e17cdc00-8b58-4e5f-9d50-4cad1592c4c3,,Unauthorized Message,,,Became a new technique
New Technique,,T1693,,attack-pattern--7b4c0e19-a9b0-4a74-a196-b38c07b79f20,,Modify Firmware,,,Became a new technique
New Technique,,T1694,,attack-pattern--3e9b182e-e493-49e1-9a9b-bd0dfcd34a7c,,Insecure Credentials,,,Became a new technique
New Technique,,T0873.001,,attack-pattern--354ca909-b54d-4c41-b597-9c296b344a43,,Project File Infection: Siemens Project File Format,T0873,,Became new sub-technique
New Technique,,T0846.001,,attack-pattern--5d24bb1d-4487-4923-ae3a-8e679092ac7a,,Remote System Discovery: Port Scan,T0846,,Became new sub-technique
New Technique,,T0846.002,,attack-pattern--c55f0be5-044e-4577-8095-65b37680d28c,,Remote System Discovery: Broadcast Discovery,T0846,,Became new sub-technique
New Technique,,T0846.003,,attack-pattern--64bbc1b2-101f-4322-af1d-0c9cc25cef91,,Remote System Discovery: Multicast Discovery,T0846,,Became new sub-technique
New Technique,,T1695,,attack-pattern--fbb67c2d-37c3-49ee-86e3-bf234cc48ca9,,Block Communications,,"Getting sub-techniques for Block Serial COM, Block Ethernet, and Block Wi-Fi",Became a new technique
New Technique,,T1695.002,,attack-pattern--6008c1f0-1b68-4614-8f5b-a547436b8855,,Block Communications: Ethernet,T1695,,Became new sub-technique
New Technique,,T1695.003,,attack-pattern--71f2d49e-65dd-4fb6-a4cc-0d2b19d427fa,,Block Communications: Wi-Fi,T1695,,Became new sub-technique
New Technique,,T0843.001,,attack-pattern--77015a55-eef8-4f71-a071-b152f82ec1ef,,Program Download: Download All,T0843,,Became new sub-technique
New Technique,,T0843.002,,attack-pattern--d85a6ee9-820c-4adf-8a64-2392ee70c83c,,Program Download: Online Edit,T0843,,Became new sub-technique
New Technique,,T0843.003,,attack-pattern--574d5bfb-9a7a-4b28-ab5c-743ac704c135,,Program Download: Program Append,T0843,,Became new sub-technique
